,Title,Type,Director,Actors,Release,Genre,Runtime,Language,Country,Rating,IMDb,RottenTomatoes,Metacritic,Platform
10493,Enchantimals: Tales from Everwilde,TV Show,,"['Kate Higgins', 'Doug Erholtz', 'Rachel Butera']",20 Jul 2018,"['Animation', 'Action', 'Adventure']",1,English,,,6.0,,,Prime
10494,Enai Noki Paayum Thota,Movie,Gautham Vasudev Menon,"['Dhanush', 'Megha Akash', 'M. Sasikumar']",29 Nov 2019,"['Action', 'Drama', 'Romance']",153,Tamil,India,Not Rated,5.6,,,Prime
10495,Emma's Chance,Movie,Anna Elizabeth James,"['Greer Grammer', 'Joey Lawrence', 'Missi Pyle']",05 Jul 2016,"['Drama', 'Family', 'Sport']",93,English,United States,PG,6.1,,,Prime
10496,Emily Bronte's Wuthering Heights,Movie,"Peter Kosminsky, Mary Soan","['Juliette Binoche', 'Ralph Fiennes', 'Janet McTeer', 'Sophie Ward', 'Simon Shephard', 'Simon Ward', 'Jeremy Northam', 'Paul Geoffrey', 'John Woodvine', 'Robert Demeger']",1992,Drama,106,,,PG,,,,Prime
10497,Elsewhere,Movie,Nathan Hope,"['Anna Kendrick', 'Jon Gries', 'Tania Raymonde']",15 Jan 2009,"['Crime', 'Drama', 'Thriller']",106,English,United States,R,5.4,,,Prime
10498,Elon Gold: Chosen & Taken,Movie,Jay Chapman,Elon Gold,15 Apr 2014,Comedy,61,English,United States,Unrated,7.1,,,Prime
10499,Eloise at the Plaza,Movie,Kevin Lima,"['Julie Andrews', 'Jeffrey Tambor', 'Kenneth Welsh', 'Debra Monk']",27 Apr 2003,"['Family', 'Comedy']",89,English,"['UK', 'USA']",,6.5,,,Prime
10500,Elliott Smith - Heaven Adores You,Movie,Nickolas Rossi,Elliott Smith,2015,Documentary,105,,,16+,,,,Prime
10501,Elizabeth Smart: Autobiography,TV Show,,"['Elizabeth Smart', 'Lois Smart', 'Ed Smart']",12 Nov 2017,Biography,1,English,United States,TV-14,8.1,,,Prime
10502,Elizabeth I,TV Show,,"['Helen Mirren', 'Toby Jones', 'Hugh Dancy']",22 Apr 2006,"['Biography', 'Drama', 'History']",1,English,"['United Kingdom', 'United States']",TV-MA,7.9,,,Prime
10503,Elfen Lied,TV Show,,"['Sanae Kobayashi', 'Chihiro Suzuki', 'Mamiko Noto']",25 Jul 2004,"['Animation', 'Action', 'Drama']",1,"['English', 'Japanese']",Japan,TV-MA,7.9,,,Prime
10504,Elephant Song,Movie,Charles Binamé,"['Bruce Greenwood', 'Xavier Dolan', 'Carrie-Anne Moss']",26 Feb 2015,Drama,110,"['English', 'French', 'Italian', 'German', 'Latin']",Canada,Not Rated,6.6,60.0,,Prime
10505,Electric Six: Live from Quarantine,Movie,Tom Lehrer,"['Mike Alonso', 'Hypercube Bonanza', 'Electric Six', 'Tom Lehrer']",01 Jul 2020,"['Music', 'Documentary']",96,English,USA,,,,,Prime
10506,Elayne Boosler: Party of One,Movie,Steve Gerbson,"['Elayne Boosler', 'Jacqueline Manning', 'Bill Cosby', 'Theodore Gottlieb']",07 Oct 1986,Comedy,70,English,USA,,6.9,,,Prime
10507,El Presidente,TV Show,,"['Andrés Parra', 'Karla Souza', 'Paulina Gaitan']",05 Jun 2020,"['Comedy', 'Drama', 'Sport']",1,Spanish,"['Chile', 'Argentina', 'United States']",TV-MA,7.2,,,Prime
10508,El Candidato,TV Show,,"['James Purefoy', 'Eréndira Ibarra', 'José María de Tavira']",17 Jul 2020,Thriller,1,Spanish,Mexico,TV-MA,7.6,,,Prime
10509,El Ascensor,Movie,Daniel Bernal,"['Marimar Vega', 'Gorka Otxoa', 'Ramón Langa']",,Sci-Fi,70,Spanish,Mexico,,4.7,,,Prime
10510,Ekaj,Movie,Cati Gonzalez,"['Jake Mestre', 'Scooter LaForge', 'Badd Idea']",11 Nov 2015,"['Crime', 'Drama']",80,English,United States,,6.0,100.0,,Prime
10511,Ek Baar Kaho,Movie,Lekh Tandon,"['Navin Nischol', 'Shabana Azmi', 'Dilip Dhawan']",03 Sep 1980,"['Drama', 'Family', 'Romance']",142,Hindi,India,Not Rated,6.8,,,Prime
10512,EIC vs. the World,TV Show,,"['Azeem Banatwalla', 'Atul Khatri', 'Sorabh Pant']",01 Dec 2016,Comedy,,English,India,,8.1,,,Prime
10513,"Eerie, Indiana: The Other Dimension",TV Show,,"['Bill Switzer', 'Daniel Clark', 'Deborah Odell']",07 Feb 1998,"['Adventure', 'Comedy', 'Family']",1,English,Canada,TV-Y7,7.2,,,Prime
10514,Edwardian Farm,TV Show,,"['Ruth Goodman', 'Peter Ginn', 'Stephen Noonan']",10 Nov 2010,Documentary,1,English,United Kingdom,,8.8,,,Prime
10515,Edison,Movie,David J. Burke,"['Morgan Freeman', 'Kevin Spacey', 'Justin Timberlake']",29 Jul 2005,"['Action', 'Crime', 'Drama']",99,English,"['United States', 'Germany']",R,5.3,13.0,,Prime
10516,Edie,Movie,Simon Hunter,"['Sheila Hancock', 'Kevin Guthrie', 'Paul Brannigan']",06 Sep 2019,"['Adventure', 'Drama']",102,English,United Kingdom,,6.6,67.0,41.0,Prime
10517,Edge of Doom,Movie,Mark Robson,"['Dana Andrews', 'Farley Granger', 'Joan Evans']",03 Aug 1950,"['Crime', 'Drama', 'Film-Noir']",99,English,United States,Not Rated,6.4,,,Prime
10518,Eddie Pepitone: In Ruins,Movie,Steven Feinartz,Eddie Pepitone,15 Aug 2014,Comedy,64,English,USA,Not Rated,7.1,,,Prime
10519,Eddie Pence: The (Un)special Comedy Special,Movie,Dustin Jacobs,Eddie Pence,2020,"['Arts', 'Entertainment', 'Culture', 'Comedy', 'Special Interest']",59,,,18+,,,,Prime
10520,Eddie Griffin: Undeniable,Movie,Gobi M. Rahimi,Eddie Griffin,09 Feb 2018,Comedy,74,English,USA,TV-MA,5.1,,,Prime
10521,Eat. Race. Win.,TV Show,,"['Simon Yates', 'Simon Kruger', 'Hannah Grant']",27 Jul 2018,"['Documentary', 'Short', 'Adventure']",1,English,United States,TV-14,7.1,,,Prime
10522,Eat with Me,Movie,David Au,"['Sharon Omi', 'Edward Chen', 'Nicole Sullivan']",08 Oct 2017,"['Comedy', 'Drama', 'Romance']",95,English,United States,Not Rated,6.9,,,Prime
10523,Eat the World with Emeril Lagasse,TV Show,,"['Emeril Lagasse', 'Albert Adrià', 'Ferran Adrià']",02 Sep 2016,Documentary,1,English,United States,TV-14,7.8,,,Prime
10524,"Easy Come, Easy Go",Movie,John Rich,"['Elvis Presley', 'Dodie Marshall', 'Pat Priest']",14 Jun 1967,"['Adventure', 'Comedy', 'Music']",95,English,United States,PG,5.3,43.0,,Prime
10525,East Side Sushi,Movie,Anthony Lucero,"['Diana Elizabeth Torres', 'Yutaka Takeuchi', 'Rodrigo Duarte Clark']",18 Sep 2015,Drama,106,"['English', 'Spanish']",United States,PG,7.2,95.0,70.0,Prime
10526,Ear Buds: The Podcasting Documentary,Movie,Graham Elwood,"['Graham Elwood', 'Chris Mancini', 'Aisha Tyler']",17 Nov 2016,Documentary,106,English,United States,,6.5,,,Prime
10527,The Eagle and the Hawk,Movie,"Stuart Walker, Mitchell Leisen","['Fredric March', 'Cary Grant', 'Jack Oakie']",06 May 1933,"['Action', 'Drama', 'War']",73,"['English', 'French']",United States,TV-PG,7.1,,,Prime
10528,E-Motion 2.0,Movie,Frazer Bailey,"['Ty Hungerford', 'Lauren Jackson']",2014,Documentary,72,,,13+,,,,Prime
10529,Dwayne Perkins: Take Note,Movie,Ian Harris,"['Dwayne Perkins', 'Michael Magid', 'Jentle Phoenix']",01 Jul 2016,"['Documentary', 'Comedy']",68,English,United States,TV-MA,7.2,,,Prime
10530,The Duke Is Tops,Movie,"William L. Nolte, Ralph Cooper","['Ralph Cooper', 'Lena Horne', 'Laurence Criner']",01 Sep 1938,"['Comedy', 'Drama', 'Musical']",73,English,United States,Approved,5.5,63.0,,Prime
10531,Duck Dynasty,TV Show,,"['Jase Robertson', 'Si Robertson', 'Willie Robertson']",21 Mar 2012,"['Comedy', 'Reality TV']",11,English,United States,TV-PG,6.2,,,Prime
10532,DSP Dev,Movie,Mandeep Benipal,"['Dev Kharoud', 'Manav Vij', 'Aman Dhaliwal']",12 Jul 2019,"['Action', 'Crime']",145,Punjabi,India,Not Rated,5.9,,,Prime
10533,Drugs as Weapons Against Us: The CIA War on Musicians and Activists,Movie,John Potash,"['Ed Opperman', 'Bobby Seale']",01 Nov 2018,Documentary,120,English,United States,,5.9,,,Prime
10534,Dropping the Soap,TV Show,Ellie Kanner,"['Paul Witten', 'Kate Mines', 'Suzanne Friedline']",07 Mar 2017,Comedy,1,English,United States,TV-14,5.5,,,Prime
10535,Drishyam 2,Movie,Jeethu Joseph,"['Mohanlal', 'Meena', 'Ansiba']",19 Feb 2021,"['Crime', 'Drama', 'Thriller']",152,Malayalam,India,,8.6,86.0,,Prime
10536,Dripping in Chocolate,Movie,Mark Joffe,"['David Wenham', 'Louise Lombard', 'Lucy Durack', 'Rick Donald']",07 Apr 2012,"['Crime', 'Drama', 'Mystery']",90,English,"['UK', 'Australia']",,6.3,,,Prime
10537,Dressed to Kill,Movie,Brian De Palma,"['Michael Caine', 'Angie Dickinson', 'Nancy Allen']",25 Jul 1980,"['Crime', 'Drama', 'Mystery']",104,English,United States,R,7.1,81.0,74.0,Prime
10538,Dreaming Out Loud,Movie,Harold Young,"['Chester Lauck', 'Norris Goff', 'Frances Langford']",30 Sep 1940,Comedy,81,English,United States,PG,6.6,,,Prime
10539,Dream Defenders,TV Show,,"['Muriel Hofmann', 'Daniel Garcia', 'Matthew Leonhart']",25 Sep 2011,"['Animation', 'Action', 'Adventure']",1,English,Singapore,TV-Y7,5.6,,,Prime
10540,Dragonslayer,Movie,Matthew Robbins,"['Peter MacNicol', 'Caitlin Clarke', 'Ralph Richardson']",26 Jun 1981,"['Action', 'Adventure', 'Fantasy']",109,"['English', 'Latin']",United States,PG,6.7,82.0,68.0,Prime
10541,Dragon Eyes,Movie,John Hyams,"['Cung Le', 'Jean-Claude Van Damme', 'Johnny Holmes']",09 Oct 2014,"['Action', 'Crime', 'Drama']",91,"['English', 'Italian', 'Spanish']",United States,R,4.5,,,Prime
10542,Dr. Heckyl and Mr. Hype,Movie,Charles B. Griffith,"['Oliver Reed', 'Sunny Johnson', 'Maia Danziger']",01 Oct 1980,"['Comedy', 'Drama', 'Horror']",99,English,United States,R,4.1,,,Prime
10543,Downton Abbey,TV Show,,"['Hugh Bonneville', 'Phyllis Logan', 'Elizabeth McGovern']",09 Jan 2011,"['Drama', 'Romance']",6,English,United Kingdom,TV-PG,8.7,,,Prime
10544,Down East Dickering,TV Show,,Bryan Hinkel,04 Apr 2014,Reality TV,2,English,United States,,7.1,,,Prime
10545,Down 2 Come Up,Movie,Micah Troy,"['Malan B.', 'Shawty Lo', 'Micah Troy']",21 Sep 2019,Drama,88,,United States,Not Rated,,,,Prime
10546,Dov Davidoff: Lower Your Expectations,Movie,John Asher,Dov Davidoff,2016,"['Arts', 'Entertainment', 'Culture', 'Comedy', 'Special Interest']",59,,,18+,,,,Prime
10547,Doug Stanhope: No Refunds,Movie,Milton Lage,Doug Stanhope,03 Aug 2007,"['Documentary', 'Comedy']",61,English,USA,R,8.2,,,Prime
10548,Doug Stanhope: No Place Like Home,Movie,Brian Hennigan,Doug Stanhope,15 Sep 2016,Comedy,71,English,United States,Not Rated,7.5,,,Prime
10549,Doug Benson: Doug Dynasty,Movie,,Doug Benson,22 Aug 2014,Comedy,60,English,United States,Not Rated,5.9,,,Prime
10550,Doubting Thomas,Movie,"Will McFadden, Anthony O'Brien","['Hustle', 'Byron Wallace', 'Will McFadden']",12 Jun 2018,Drama,86,English,United States,TV-MA,4.9,,,Prime
10551,Double Daddy,Movie,Lee Friedlander,"['Mollee Gray', 'Brittany Curran', 'Cameron Palatas']",06 Jun 2015,"['Drama', 'Romance', 'Thriller']",85,English,United States,TV-14,6.0,,,Prime
10552,Dororo,TV Show,,"['Jason Douglas', 'Rio Suzuki', 'Mugihito']",07 Jan 2019,"['Animation', 'Action', 'Adventure']",1,Japanese,Japan,Not Rated,8.4,,,Prime
10553,Dora the Explorer,TV Show,,"['Fatima Ptacek', 'Regan Mizrahi', 'Alexandria Suarez']",14 Aug 2000,"['Animation', 'Adventure', 'Comedy']",8,"['English', 'Spanish']",United States,TV-Y,4.2,,,Prime
10554,Doomed to Die,Movie,William Nigh,"['Boris Karloff', 'Marjorie Reynolds', 'Grant Withers']",12 Aug 1940,"['Crime', 'Drama', 'Mystery']",68,English,United States,Approved,5.6,,,Prime
10555,Donovan's Reef,Movie,John Ford,"['John Wayne', 'Lee Marvin', 'Elizabeth Allen']",19 Jul 1963,"['Adventure', 'Comedy', 'Romance']",109,"['English', 'French']",United States,Approved,6.9,54.0,64.0,Prime
10556,Don't Let Them In,Movie,Mike Dunkin,"['Scott Britton', 'Louis Dunkin', 'Amanda Hunt']",03 Mar 2020,"['Horror', 'Mystery']",81,English,United Kingdom,,4.5,,,Prime
10557,Don't Call Me Bigfoot,Movie,Jeremy Norrie,"['Alex Mistretta', 'Matthew Mordovanec', 'Nick Redfern']",17 Mar 2020,Documentary,81,English,United States,Approved,5.5,,,Prime
10558,"Don Q, Son of Zorro (Silent)",Movie,Donald Crisp,"['Douglas Fairbanks Sr', 'Mary Astor', 'Jack McDonald', 'Stella De Lanti', 'Donald Crisp', 'Warner Oland', 'Jean Hersholt']",1925,Action,111,,,13+,,,,Prime
10559,Dominique Witten: Stop Me When I'm Lying!,Movie,John Asher,Dominique Witten,2017,"['Arts', 'Entertainment', 'Culture', 'Comedy', 'Special Interest']",59,,,18+,,,,Prime
10560,Domain,Movie,Nathaniel Atcheson,"['Britt Lower', 'Ryan Merriman', 'William Gregory Lee']",21 Aug 2020,"['Drama', 'Sci-Fi', 'Thriller']",97,English,United States,Not Rated,5.6,71.0,,Prime
10561,Dogs with Jobs,TV Show,,"['Jon Kalina', 'John Ralston', 'Andrew Burr']",08 Jan 2000,Documentary,5,English,Canada,TV-G,7.9,,,Prime
10562,Dog City,TV Show,,"['Ron White', 'Elizabeth Hanna', 'Kevin Clash']",26 Sep 1992,"['Animation', 'Comedy', 'Family']",3,English,"['Canada', 'United States']",TV-G,6.9,,,Prime
10563,Doe,Movie,Justin Foia,"['Timothy Davis', 'Tatyana Ali', 'Mathew St. Patrick']",27 Sep 2018,Thriller,98,English,United States,TV-MA,5.7,,,Prime
10564,Dodsworth,Movie,William Wyler,"['Walter Huston', 'Ruth Chatterton', 'Paul Lukas']",23 Sep 1936,"['Drama', 'Romance']",101,"['English', 'French', 'German', 'Italian']",United States,Passed,7.8,90.0,,Prime
10565,Dodos,Movie,Gonzo Torres,"['Pedro Aijon', 'Fernando Delgado-Hierro', 'Moha El-Jaw']",21 Nov 2015,"['Drama', 'Sci-Fi']",60,Spanish,Spain,Not Rated,,,,Prime
10566,Doctor Blood's Coffin,Movie,Sidney J. Furie,"['Kieron Moore', 'Hazel Court', 'Ian Hunter']",01 Jan 1961,"['Horror', 'Sci-Fi', 'Thriller']",92,English,United Kingdom,Unrated,4.9,,,Prime
10567,DocoBANKSY,Movie,Dominic Wade,"['Kate Brindley', 'Robbie Conal', 'Simon Hattenstone']",27 Oct 2014,"['Documentary', 'Biography']",59,English,"['United Kingdom', 'United States']",TV-PG,5.4,,,Prime
10568,Division III: Football's Finest,Movie,Marshall Cook,"['Andy Dick', 'Marshall Cook', 'Michael Jace']",14 Oct 2011,"['Comedy', 'Romance', 'Sport']",98,English,United States,R,5.6,,,Prime
10569,Dive!!,Movie,Naoto Kumazawa,"['Kento Hayashi', 'Sôsuke Ikematsu', 'Junpei Mizobata']",16 Jun 2008,Drama,115,Japanese,Japan,,6.7,,,Prime
10570,Dive Olly Dive!,TV Show,,"['Shane Withington', 'Gibson Nolte', 'Julie McGregor']",02 Dec 2006,"['Animation', 'Fantasy']",3,English,"['Australia', 'United States', 'United Kingdom', 'Belgium', 'Germany', 'Ireland', 'China', 'France']",TV-Y7,6.1,,,Prime
10571,Dismissed,Movie,Benjamin Arfmann,"['Kent Osborne', 'Dylan Sprouse', 'Rae Gray']",03 Jan 2019,"['Drama', 'Horror', 'Thriller']",87,English,United States,Not Rated,5.7,,,Prime
10572,Dishonored Lady,Movie,Robert Stevenson,"['Hedy Lamarr', ""Dennis O'Keefe"", 'John Loder']",16 May 1947,"['Crime', 'Drama', 'Film-Noir']",85,English,United States,Approved,6.5,,,Prime
10573,Sunshine Barry and the Disco Worms,Movie,"Thomas Borch Nielsen, Tonni Zinck","['Peter Frödin', 'Trine Dyrholm', 'Lars Hjortshøj']",10 Oct 2008,"['Animation', 'Comedy', 'Family']",75,"['Danish', 'English']","['Denmark', 'Germany']",PG,4.7,,,Prime
10574,Disco Godfather,Movie,J. Robert Wagoner,"['Rudy Ray Moore', 'Carol Speed', 'Jimmy Lynch']",01 Sep 1979,"['Action', 'Crime', 'Drama']",93,English,United States,R,5.2,83.0,,Prime
10575,Dirty Pictures,Movie,Frank Pierson,"['James Woods', 'Craig T. Nelson', 'Diana Scarwid', 'Leon Pownall']",27 May 2000,Drama,104,English,USA,R,6.5,40.0,,Prime
10576,Dirtbag: The Legend of Fred Beckey,Movie,Dave O'Leske,"['Fred Beckey', 'Conrad Anker', 'Helmy Beckey']",10 Aug 2018,"['Documentary', 'Adventure', 'Biography']",96,English,"['United States', 'Canada', 'China']",,7.6,100.0,,Prime
10577,Dios,Movie,"Maite Alberdi, Carlos Araya Díaz, Diego Ayala",,04 May 2019,Documentary,64,Spanish,Chile,,,,,Prime
10578,Dinosaur Train,TV Show,,"['Ian James Corlett', 'Erika-Shaye Gair', 'Claire Margaret Corlett']",07 Sep 2009,"['Animation', 'Family']",7,English,"['United States', 'United Kingdom', 'Canada']",TV-Y,6.6,,,Prime
10579,Dinosaur Island,Movie,Matt Drummond,"['Darius Williams', 'Kate Rasmussen', 'Juliette Frederick']",01 Dec 2014,"['Adventure', 'Family', 'Sci-Fi']",82,English,Australia,Not Rated,3.6,,,Prime
10580,Dino King 3D: Journey to Fire Mountain,Movie,Han Sang-Ho,"['Hee-soon Park', 'Erin Connor', 'David Collins']",25 Dec 2019,"['Animation', 'Action', 'Adventure']",95,Korean,"['South Korea', 'China']",,5.0,,,Prime
10581,Dino Dana: The Movie,Movie,J.J. Johnson,"['Michela Luci', 'Donald Henderson', 'Millie Davis']",04 Sep 2020,"['Adventure', 'Family', 'Fantasy']",85,English,"['Canada', 'United States']",PG,5.4,,,Prime
10582,Dino Dana,TV Show,,"['Michela Luci', 'Saara Chaudry', 'Amish Patel']",26 May 2017,"['Short', 'Adventure', 'Comedy']",4,English,"['Canada', 'United States']",TV-Y,7.0,,,Prime
10583,Dino Dan,TV Show,,"['Jason Spevack', 'Isaac Durnford', 'Sydney Kuhne']",05 Jan 2010,Family,1,English,Canada,TV-Y7,5.6,,,Prime
10584,Dinner for Schmucks,Movie,Jay Roach,"['Steve Carell', 'Paul Rudd', 'Stephanie Szostak']",30 Jul 2010,Comedy,114,English,United States,PG-13,5.9,42.0,56.0,Prime
10585,Dilruk Jayasinha: Bundle of Joy,Movie,Simon Francis,Dilruk Jayasinha,24 Apr 2020,Comedy,60,English,Australia,,6.0,,,Prime
10586,Digging to China,Movie,Timothy Hutton,"['Evan Rachel Wood', 'Kevin Bacon', 'Mary Stuart Masterson']",11 Sep 1998,Drama,98,English,United States,PG,6.8,43.0,,Prime
10587,Die Trying,TV Show,,"['Adarsh Gourav', 'Niharika Lyra Dutt', 'Soundarya Jayachandran']",14 Feb 2018,Comedy,1,English,India,,6.9,,,Prime
10588,Dickensian,TV Show,,"['Tuppence Middleton', 'Sophie Rundle', 'Alexandra Moen']",25 Dec 2015,Drama,1,English,United Kingdom,TV-PG,7.6,,,Prime
10589,Dick Winters: Hang Tough,Movie,Tim Gray,Damian Lewis,18 Oct 2012,Documentary,55,English,United States,Not Rated,8.3,,,Prime
10590,Diani & Devine Meet the Apocalypse,Movie,"Etta Devine, Gabriel Diani","['Etta Devine', 'Gabriel Diani', 'Barry Bostwick']",04 May 2020,"['Adventure', 'Comedy']",90,English,United States,,6.5,,,Prime
10591,Diana: The Royal Truth,Movie,"Jordan Hill, Jordan Hill",,07 Nov 2017,Documentary,60,,,Not Rated,6.3,,,Prime
10592,Diana Vreeland: The Eye Has to Travel,Movie,"Lisa Immordino Vreeland, Bent-Jorgen Perlmutt, Frédéric Tcheng","['Diana Vreeland', 'Richard Avedon', 'David Bailey']",21 Sep 2012,"['Documentary', 'Biography']",86,"['English', 'French', 'Italian']",United States,PG-13,7.6,94.0,69.0,Prime
10593,Diabolique,Movie,Henri-Georges Clouzot,"['Simone Signoret', 'Véra Clouzot', 'Paul Meurisse']",21 Nov 1955,"['Crime', 'Drama', 'Horror']",117,"['French', 'English']",France,Not Rated,8.1,96.0,,Prime
10594,Diablo Guardián,TV Show,,"['Paulina Gaitan', 'Adrian Ladron', 'Andrés Almeida']",04 May 2018,"['Action', 'Drama']",2,Spanish,Mexico,TV-MA,6.2,,,Prime
10595,Dhruva,Movie,Surender Reddy,"['Ram Charan', 'Arvind Swamy', 'Rakul Preet Singh']",09 Dec 2016,"['Action', 'Crime', 'Thriller']",165,Telugu,India,Not Rated,7.8,,,Prime
10596,Dhoom,Movie,Sanjay Gadhvi,"['Abhishek Bachchan', 'John Abraham', 'Uday Chopra']",27 Aug 2004,"['Action', 'Crime', 'Drama']",129,"['English', 'Hindi']",India,Not Rated,6.7,,,Prime
10597,Dhadak,Movie,Shashank Khaitan,"['Janhvi Kapoor', 'Ishaan Khattar', 'Ashutosh Rana']",20 Jul 2018,"['Drama', 'Romance']",138,Hindi,India,Not Rated,4.5,31.0,,Prime
10598,Dexter,TV Show,,"['Michael C. Hall', 'Jennifer Carpenter', 'David Zayas']",01 Oct 2006,"['Crime', 'Drama', 'Mystery']",8,"['English', 'Spanish']",United States,TV-MA,8.6,,,Prime
10599,Devil's Whisper,Movie,Adam Ripp,"['Luca Oriel', 'Dave Abdalian', 'Violkys Bustamante']",27 Dec 2019,"['Horror', 'Thriller']",85,English,"['United States', 'Indonesia']",Not Rated,4.2,,,Prime
10600,Devil's Diary,Movie,Farhad Mann,"['Alexz Johnson', 'Miriam McDonald', 'Deanna Casaluce', 'Magda Apanowicz']",22 Sep 2007,"['Drama', 'Horror', 'Mystery']",90,English,Canada,Not Rated,4.9,,,Prime
10601,Detectives: My Killer Case,TV Show,,"['Mark Birch', 'Martin Brunning', 'Howard Groves']",01 Feb 2018,"['Documentary', 'Crime']",,English,United Kingdom,TV-14,7.9,,,Prime
10602,Despite the Falling Snow,Movie,Shamim Sarif,"['Rebecca Ferguson', 'Oliver Jackson-Cohen', 'Antje Traue']",31 Mar 2017,"['Drama', 'Mystery', 'Romance']",93,English,"['United Kingdom', 'Canada']",PG-13,5.8,9.0,33.0,Prime
10603,Design Squad,TV Show,,"['Nathan Ball', 'Deanne Bell', 'Thomas Cotter']",01 Feb 2007,Family,3,English,United States,,8.4,,,Prime
10604,Deep Water,TV Show,,"['Noah Taylor', 'Yael Stone', 'Jeremy Lindsay Taylor']",05 Oct 2016,"['Crime', 'Drama', 'Mystery']",1,"['English', 'Arabic']",Australia,Not Rated,6.9,,,Prime
10605,Decoding Annie Parker,Movie,Steven Bernstein,"['Helen Hunt', 'Samantha Morton', 'Aaron Paul']",02 May 2014,Drama,91,English,United States,R,6.2,56.0,56.0,Prime
10606,"Debra Digiovanni: Single, Awkward, Female",Movie,Manny Rodriguez,Debra DiGiovanni,14 Dec 2011,Comedy,52,English,United States,TV-MA,5.4,,,Prime
10607,The Deathwish Video,Movie,,,01 Mar 2013,,48,English,United States,Not Rated,8.6,,,Prime
10608,Death Ship,Movie,Alvin Rakoff,"['George Kennedy', 'Richard Crenna', 'Nick Mancuso']",07 Mar 1980,"['Adventure', 'Horror', 'Mystery']",91,"['English', 'German']","['United Kingdom', 'Canada']",R,4.9,33.0,10.0,Prime
10609,Death of a Child,Movie,"Frida Barkfors, Lasse Barkfors",,01 Feb 2017,Documentary,80,English,"['Denmark', 'Sweden', 'United States']",,6.5,,,Prime
10610,Dear Zachary: A Letter to a Son About His Father,Movie,Kurt Kuenne,"['Kurt Kuenne', 'Andrew Bagby', 'David Bagby']",01 Jan 2008,"['Documentary', 'Biography', 'Crime']",95,English,United States,Not Rated,8.5,94.0,82.0,Prime
10611,Dear Comrade,Movie,Bharat Kamma,"['Vijay Deverakonda', 'Rashmika Mandanna', 'Raj Arjun']",26 Jul 2019,"['Action', 'Drama', 'Romance']",169,Telugu,India,Not Rated,7.4,,,Prime
10612,Deal or No Deal,TV Show,,"['Howie Mandel', 'Patricia Kara', 'Megan Abrigo']",19 Dec 2005,"['Comedy', 'Family', 'Game-Show']",5,English,United States,TV-PG,5.0,,,Prime
10613,Deadly Vows,Movie,Fred Olen Ray,"['Brittany Underwood', 'Charlene Amoia', 'Cameron Jebo', 'Kathryn Leigh Scott']",14 Oct 2017,"['Crime', 'Drama']",84,English,USA,TV-14,4.9,,,Prime
10614,The Deadly Companions,Movie,Sam Peckinpah,"[""Maureen O'Hara"", 'Brian Keith', 'Steve Cochran']",16 Feb 1962,"['Adventure', 'Western']",93,English,United States,Approved,6.1,86.0,,Prime
10615,Dead Trigger,Movie,"Mike Cuff, Scott Windhauser","['Dolph Lundgren', 'Autumn Reeser', 'Brooke Johnston']",03 May 2019,"['Action', 'Horror', 'Sci-Fi']",91,English,United States,R,3.3,,,Prime
10616,Dead Man Running,Movie,Alex De Rakoff,"['Clint Koroan', ""Fredi 'Kruga' Nwaka"", '50 Cent']",30 Oct 2009,"['Action', 'Crime', 'Drama']",92,English,United Kingdom,R,6.0,14.0,,Prime
10617,Dead Lucky,TV Show,,"['Rachel Griffiths', 'Yoson An', 'Mojean Aria']",20 Sep 2018,"['Crime', 'Thriller']",1,English,Australia,TV-14,6.8,,,Prime
10618,Dead Boss,TV Show,,"['Sharon Horgan', 'Jennifer Saunders', 'Aisling Bea']",14 Jun 2012,Comedy,1,English,United Kingdom,,6.5,,,Prime
10619,Dead Birds,Movie,Alex Turner,"['Henry Thomas', 'Patrick Fugit', 'Nicki Aycox']",13 Feb 2005,"['Horror', 'Thriller', 'Western']",91,English,United States,R,5.6,56.0,,Prime
10620,Dead & Buried,Movie,Gary Sherman,"['James Farentino', 'Melody Anderson', 'Jack Albertson']",09 Oct 1981,"['Horror', 'Mystery']",94,English,United States,R,6.6,76.0,71.0,Prime
10621,De la vida al plato,TV Show,,Juan Echanove,24 Jul 2020,Documentary,1,Spanish,Spain,,6.1,,,Prime
10622,DCI Banks,TV Show,,"['Stephen Tompkinson', 'Jack Deam', 'Andrea Lowe']",27 Sep 2010,"['Crime', 'Drama', 'Mystery']",5,English,United Kingdom,TV-14,7.6,,,Prime
10623,Daydream Believers: The Monkees' Story,Movie,Neill Fearnley,"['George Stanchev', 'L.B. Fisher', 'Jeff Geddis', 'Aaron Lohr']",28 Jun 2000,"['Biography', 'Drama', 'Music']",92,English,"['Canada', 'USA']",PG-13,6.0,,,Prime
10624,Dawn Rider,Movie,Terry Miles,"['Christian Slater', 'Jill Hennessy', 'Donald Sutherland']",29 May 2012,Western,94,English,Canada,R,4.9,,,Prime
10625,David Crowe: Crooked Finger,Movie,,David Crowe,03 Feb 2009,Comedy,76,English,USA,Not Rated,7.1,,,Prime
10626,David Cross: Oh Come On,Movie,Lance Bangs,David Cross,01 Apr 2019,Comedy,70,English,United States,,6.8,,,Prime
10627,Dassehra,Movie,"Manish Vatssalya, Saurabh Choudhary","['Neil Nitin Mukesh', 'Tina Desai', 'Manish Vatssalya']",26 Oct 2018,"['Action', 'Thriller']",131,Hindi,India,Not Rated,3.7,,,Prime
